"","class","1","2","3","4","5","mean"
"1","meidan_白血病",3.31025099995933,2.96475746925456,2.58851563240702,2.92718573101888,0,2.85721705369725
"2","meidan_膀胱",3.89057462462228,5.02729573498936,4.02181867125103,3.48530872428081,0,3.83711086386301
"3","meidan_非何杰金氏淋巴瘤",3.24466052384193,3.16357450908311,3.01103131084316,3.53227437582462,0,3.17592656933177
"4","meidan_肺.支氣管及氣管",5.41798750938597,6.03825270860674,5.66881713897209,5.56128721684218,5.05634134218579,5.55284523729891
"5","meidan_肝及肝內膽管",5.84399648874459,5.51278337666856,5.73142196045962,5.45513947493045,5.72021341111395,5.67636845405859
"6","meidan_結腸",5.07163631565366,5.18858620239488,4.74723382525156,4.897541247926,4.62195355402244,4.89601911365631
"7","meidan_口腔.口咽及下咽",4.1923329705503,4.0835363635055,4.06271055267101,4.09517754852599,4.63387911262454,4.1783448130961
"8","meidan_卵巢.輸卵管及寬韌帶",2.71077980567308,0,0,0.629941104656153,0,1.46406525941835
"9","meidan_女性乳房",4.62463942438303,3.94989665785623,4.04341669813279,4.07174385728861,0,4.13982767682451
"10","meidan_攝護腺",5.26490535020279,5.49042422407679,5.16306544704659,5.36552419957298,0,5.17646465473205
"11","meidan_食道",2.93789127386414,3.2482404334981,2.60951817003794,2.82962849478287,0,2.71903959590181
"12","meidan_胃",4.10132017595853,4.22464156316996,3.97703016673676,3.78961052038808,4.09792149071244,3.985705529949
"13","meidan_胰",3.6070455598898,3.28485081379173,3.29466333818366,2.98715391777912,0,3.2022890212638
"14","meidan_直腸與肛門",4.77704570575354,4.7024330036083,4.76027041485094,4.6709189120322,4.04410334578535,4.68191824148142
"15","meidan_子宮頸",3.14164914845415,3.48768084155029,2.81934308541314,3.1670560761384,0,2.97409997342688
